Postcode,Borough,Neighbourhood,Latitude,Longitude
M5A,Downtown Toronto,Harbourfront,43.6542599,-79.3606359
M7A,Downtown Toronto,Queen's Park,43.6623015,-79.3894938
M5B,Downtown Toronto,"Ryerson, Garden District",43.6571618,-79.37893709999999
M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179
M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064
M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
M6G,Downtown Toronto,Christie,43.669542,-79.4225637
M5H,Downtown Toronto,"Adelaide, King, Richmond",43.65057120000001,-79.3845675
M5J,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station",43.6408157,-79.38175229999999
M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre",43.6471768,-79.38157640000001
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.37981690000001
M5S,Downtown Toronto,"Harbord, University of Toronto",43.6626956,-79.4000493
M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market",43.6532057,-79.4000493
M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",43.6289467,-79.3944199
M4W,Downtown Toronto,Rosedale,43.6795626,-79.37752940000001
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.6464352,-79.37484599999999
M4X,Downtown Toronto,"Cabbagetown, St. James Town",43.667967,-79.3676753
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802
M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001
