Postcode,Borough,Latitude,Longitude
75001,LOUVRE,48.86263048520001,2.33629344655
75005,PANTHEON,48.8445086596,2.34985938556
75009,OPERA,48.876896162399994,2.33746024139
75010,ENTREPOT,48.876028556899996,2.3611129045599997
75016,PASSY,48.8603987604,2.2620995594
75020,MENILMONTANT,48.863186777399996,2.40081982673
75014,OBSERVATOIRE,48.8289932116,2.3271008832599995
75008,ELYSEE,48.872527266599995,2.31258256042
75018,BUTTE-MONTMARTRE,48.8927350746,2.3487119338699998
75004,HOTEL-DE-VILLE,48.854228282,2.35736193814
75006,LUXEMBOURG,48.8489680919,2.3326708985900004
75007,PALAIS-BOURBON,48.8560825982,2.31243868773
75011,POPINCOURT,48.859415497600004,2.3787410602400003
75017,BATIGNOLLES-MONCEAU,48.8873371665,2.30748555949
75002,BOURSE,48.8679033789,2.3441071666599997
75003,TEMPLE,48.863054131800006,2.3593610589700003
75012,REUILLY,48.835156230699994,2.4198070349700003
75013,GOBELINS,48.8287176845,2.36246822852
75015,VAUGIRARD,48.8401554186,2.2935593724400003
75019,BUTTES-CHAUMONT,48.886868623000005,2.38469432787
